,tag,time,alt,range,V,Vz,LD,pDOH,eff_p,mass,m_fl,m_bat,m_NOx,m_CO,oem,m_py,eff,P_req,P_tot,P_motor,P_power_el,P_cables,P_battery,P_loss_motor,P_loss_power_el,P_loss_cables,P_loss_battery,P_GT_out,P_GT_in,P_GT_loss,eta_GT
0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19853.060659216782,0.0,0.0,0.0,0.0,11550,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06208974790458665
1,takeoff,13.916,0,0.0,53.495,0.0,6.154,0.0,0.64,19850.542166058764,2.5184931580183614,0.0,0.02349911952364087,0.008003988022505367,11550,5000,0.21678641715485764,1692981.361464853,7809443.892674793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,855041.0916489157,2783508.3505759784,1928467.2589270626,0.30718107652595544
2,climbout,3.933,30,0.0,63.222,7.629,10.5,0.0,0.8,19849.686552418003,0.8556136407605472,0.0,0.009258039957079535,0.001885196147661242,11550,5000,0.2832717505567797,2658144.4436762976,9383725.833767856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342497.1937759079,3904011.246014002,2561514.0522380937,0.3438763643794824
3,climbout,3.932,60,0.0,63.222,7.63,10.5,0.0,0.8,19848.83173099497,0.8548214230314221,0.0,0.009241840504955277,0.0018868532369032262,11550,5000,0.28347406907398043,2658224.595674309,9377311.31583881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342537.6745829843,3900661.438643167,2558123.7640601825,0.3441820562232599
4,climbout,3.932,90,0.0,63.222,7.63,10.5,0.0,0.8,19847.977538318595,0.8541926763759655,0.0,0.009226947501785314,0.0018891855101008073,11550,5000,0.28367262705430524,2658110.1199456565,9370344.074251471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342479.8585584124,3897097.8956267345,2554618.037068322,0.3444819438754473
5,climbout,3.932,120,0.0,63.222,7.631,10.5,0.0,0.8,19847.123921755952,0.8536165626421817,0.0,0.00921309756554954,0.0018913340570762738,11550,5000,0.2838738405620566,2658190.437076968,9363985.183748804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342520.4227661456,3893776.2803197172,2551255.857553572,0.3447862245069487
6,climbout,3.931,150,0.0,63.222,7.632,10.5,0.0,0.8,19846.27109810211,0.8528236538443609,0.0,0.009196922544735952,0.0018930039301564214,11550,5000,0.28407457426477384,2658270.8146121553,9357651.319172598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342561.0174808865,3890468.4390888405,2547907.4216079544,0.34508981077746986
7,climbout,3.931,180,0.0,63.222,7.619,10.5,0.0,0.8,19845.41959238263,0.8515057194764438,0.0,0.00916861217230739,0.0018978023369423081,11550,5000,0.2842309568355168,2655625.59473464,9343196.196153393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1341225.0478457778,3883981.91102608,2542756.863180302,0.34532216641849645
8,climbout,3.938,210,0.0,63.222,7.601,10.5,0.0,0.8,19844.56815531025,0.8514370723771529,0.0,0.009151469078449425,0.0019069286250237856,11550,5000,0.2843716015074135,2652007.350731778,9325851.585298475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1339397.6518847363,3876368.80024883,2536971.148364094,0.34552895271439554
9,climbout,3.946,240,0.0,63.222,7.583,10.5,0.0,0.8,19843.716575224593,0.8515800856600181,0.0,0.00913661692791716,0.0019165516838797643,11550,5000,0.2845122695037639,2648389.4166080877,9308524.448619785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1337570.4124283271,3868768.8743060566,2531198.4618777297,0.3457354150338712
