,tag,time,alt,range,V,Vz,LD,pDOH,eff_p,mass,m_fl,m_bat,m_NOx,m_CO,oem,m_py,eff,P_req,P_tot,P_motor,P_power_el,P_cables,P_battery,P_loss_motor,P_loss_power_el,P_loss_cables,P_loss_battery,P_GT_out,P_GT_in,P_GT_loss,eta_GT
0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19672.344271400452,0.0,0.0,0.0,0.0,11550,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06208974790458665
1,takeoff,13.916,0,0.0,53.495,0.0,6.154,0.0,0.64,19669.84402570577,2.5002456946805305,0.0,0.02319653536330976,0.008032413520211857,11550,5000,0.2163798882149033,1677570.6657773715,7752895.519158641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847257.9120087735,2765213.9035493284,1917955.991540555,0.3063986879717565
2,climbout,3.933,30,0.0,63.222,7.629,10.5,0.0,0.8,19668.995000055194,0.8490256505767696,0.0,0.00912925582626597,0.0019083109186574126,11550,5000,0.2828699640931921,2633947.5349095827,9311513.660891276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1330276.5327826175,3875695.0776709574,2545418.54488834,0.343235601904479
3,climbout,3.932,60,0.0,63.222,7.63,10.5,0.0,0.8,19668.14676676442,0.8482332907722285,0.0,0.009113161911085355,0.00190998858961396,11550,5000,0.2830741078839794,2634026.796507406,9305078.50469668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1330316.5638926292,3872342.9209264405,2542026.357033811,0.34354306709343735
4,climbout,3.932,90,0.0,63.222,7.63,10.5,0.0,0.8,19667.299163443753,0.8476033206694542,0.0,0.009098360612581943,0.0019123404854224908,11550,5000,0.28327447632525915,2633913.203046348,9298095.745209523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1330259.1934577515,3868778.8986615585,2538519.705203807,0.3438447190450629
5,climbout,3.932,120,0.0,63.222,7.631,10.5,0.0,0.8,19666.45213792329,0.847025520464391,0.0,0.009084586276300908,0.0019145149726143903,11550,5000,0.2834775223604554,2633992.6301542385,9291715.999990253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1330299.3081587064,3865454.1241767267,2535154.8160180203,0.34415084629727344
6,climbout,3.931,150,0.0,63.222,7.632,10.5,0.0,0.8,19665.60590521182,0.8462327114700963,0.0,0.009068521663286434,0.0019162045534949614,11550,5000,0.2836800624358533,2634072.1180211687,9285362.1625834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1330339.4535460449,3862142.638959597,2531803.1854135524,0.3444563233180891
7,climbout,3.931,180,0.0,63.222,7.619,10.5,0.0,0.8,19664.760984479737,0.8449207320838171,0.0,0.009040535570807461,0.0019209359832364063,11550,5000,0.2838378995955282,2631450.8211489357,9270963.54961328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1329015.5662368361,3855684.2083036997,2526668.6420668634,0.34468994202757436
8,climbout,3.938,210,0.0,63.222,7.601,10.5,0.0,0.8,19663.916135423915,0.8448490558231463,0.0,0.009023577447807157,0.0019300030714681717,11550,5000,0.2839798485491375,2627865.358978913,9253703.642722415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1327204.726757027,3848110.4792088903,2520905.7524518636,0.3448977709782072
9,climbout,3.946,240,0.0,63.222,7.583,10.5,0.0,0.8,19663.071147890016,0.8449875339008968,0.0,0.009008881033700043,0.0019395719459229515,11550,5000,0.28412174567883336,2624280.20476677,9236463.75076554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1325394.0428115,3840549.623823699,2515155.581012199,0.3451053033112279
10,climbout,3.957,270,0.0,63.222,7.564,10.5,0.0,0.8,19662.22543786032,0.8457100296945549,0.0,0.008999960742357963,0.001950812876869726,11550,5000,0.2842604094301547,2620502.4357371917,9218668.336510198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1323486.0786551472,3832775.6114479834,2509289.532792836,0.3453074776154578
11,climb,3.966,300,0.0,63.222,7.546,10.5,0.6688219571484045,0.8,19661.8548686436,0.3705692167220822,5.674414617111051,0.001684052339040967,0.006893478926239251,11550,5000,0.3961370908338407,2616917.771981081,6606091.2561170515,930490.1998685959,968856.9344737567,978643.3681553098,1030150.9138476946,46524.509993429834,38366.73460516074,9786.433681553106,51507.545692384774,437709.95253952127,1744874.432428945,1307164.4798894238,0.25085470014607814
12,climb,34.119,544,2821.404,83.34,7.017,16.0,0.658769211459422,0.73,19658.696585704467,3.1582829391344167,47.48248889611629,0.014267243458802004,0.05945359929413223,11550,5000,0.36343212661944363,2358136.8463927344,6488520.616841291,825873.4454075225,859926.5362427348,868612.6628714493,914329.1188120518,41293.67227037616,34053.09083521227,8686.1266287145,45716.45594060263,406398.4321117094,1625900.9166135257,1219502.4845018163,0.24995276646880057
13,climb,34.773,788,2876.205,83.34,6.883,16.0,0.6485237726762516,0.73,19655.47409515201,3.2224905524559944,47.110295813090474,0.014649583385357502,0.06011331214987635,11550,5000,0.3628172019780852,2331915.9159582835,6427247.394127512,803988.7864864769,837139.5111271105,845595.4657849601,890100.490299958,40199.43932432388,33150.72464063355,8455.954657849608,44505.02451499794,413945.9639278892,1624205.8282016674,1210259.8642737782,0.25486053352376725
14,climb,35.45,1032,2933.149,83.34,6.749,16.0,0.6380788641304435,0.73,19652.185124372136,3.288970779874632,46.722651691285165,0.015045685222414314,0.060763214826623155,11550,5000,0.3621874912824072,2305695.7569943923,6366028.127670981,782145.5234733466,814395.588789407,822621.806857987,865917.69142946,39107.276173667364,32250.065316060492,8226.218068579878,43295.884571473034,421454.5592631452,1622680.8449446883,1201226.285681543,0.2597273275124605
15,climb,36.156,1276,2992.366,83.34,6.614,16.0,0.6274259413269951,0.73,19648.8270108301,3.358113542034505,46.320804372923675,0.015455753609423624,0.061419233885726565,11550,5000,0.3615403254415835,2279283.5711726644,6304368.865046407,760277.3206773866,791625.6983313063,799621.91750637,841707.2815856526,38013.866033869366,31348.377653919706,7996.219175063707,42085.36407928267,428889.8641305557,1621046.8437539362,1192156.9796233806,0.26457586082913853
