,tag,time,alt,range,V,Vz,LD,pDOH,eff_p,mass,m_fl,m_bat,m_NOx,m_CO,oem,m_py,eff,P_req,P_tot,P_motor,P_power_el,P_cables,P_battery,P_loss_motor,P_loss_power_el,P_loss_cables,P_loss_battery,P_GT_out,P_GT_in,P_GT_loss,eta_GT
0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19212.240301332517,0.0,0.0,0.0,0.0,11550,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06208974790458665
1,takeoff,13.916,0,0.0,53.495,0.0,6.154,0.0,0.64,19209.786459497867,2.4538418346498534,0.0,0.022435755854127434,0.00809901782154068,11550,5000,0.2153127345159687,1638335.0305757346,7609094.902160686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,827441.9346342094,2718634.746017358,1891192.8113831487,0.30435936120008905
2,climbout,3.933,30,0.0,63.222,7.629,10.5,0.0,0.8,19208.95417623691,0.8322832609545883,0.0,0.008805985685810036,0.001964425781368812,11550,5000,0.2818132725531512,2572342.1916823466,9127824.847913051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1299162.7230718923,3803665.058767857,2504502.3356959647,0.3415555005499715
3,climbout,3.932,60,0.0,63.222,7.63,10.5,0.0,0.8,19208.122685851933,0.8314903849796905,0.0,0.008790157473445167,0.0019661504553330554,11550,5000,0.2820224252438017,2572419.182217947,9121328.490080714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1299201.6071807814,3800314.678977722,2501113.07179694,0.3418668497026316
4,climbout,3.932,90,0.0,63.222,7.63,10.5,0.0,0.8,19207.291828948764,0.8308569031687847,0.0,0.008775582301353517,0.001968547508179137,11550,5000,0.2822277814534955,2572307.8309285156,9114297.032279834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1299145.369155816,3796757.353704173,2497611.9845483573,0.3421723455380551
5,climbout,3.932,120,0.0,63.222,7.631,10.5,0.0,0.8,19206.461554711896,0.8302742368672383,0.0,0.008761990349565294,0.0019707833976677458,11550,5000,0.28243588924687524,2572384.988006361,9107854.511215666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1299184.3373769498,3793432.8877065303,2494248.5503295804,0.3424824890371062
6,climbout,3.931,150,0.0,63.222,7.632,10.5,0.0,0.8,19205.63207378953,0.8294809223658723,0.0,0.008746192030032131,0.0019725198703675188,11550,5000,0.2826434271084379,2572462.2068235623,9101440.048123324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1299223.336779577,3790120.5432604747,2490897.206480898,0.3427920885233671
7,climbout,3.931,180,0.0,63.222,7.619,10.5,0.0,0.8,19204.80389042574,0.8281833637868692,0.0,0.008719008542764604,0.001977083101973349,11550,5000,0.2828050384951281,2569901.8141039796,9087185.39025694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1297930.2091434242,3783738.6628955384,2485808.453752114,0.3430285029648882
8,climbout,3.938,210,0.0,63.222,7.601,10.5,0.0,0.8,19203.975786947994,0.8281034777465761,0.0,0.008702506691327983,0.001985998564104152,11550,5000,0.2829501231525346,2566399.8107815534,9070149.120939035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1296161.5205967443,3776268.686433627,2480107.165836883,0.3432386909472963
9,climbout,3.946,240,0.0,63.222,7.583,10.5,0.0,0.8,19203.14755690705,0.8282300409429386,0.0,0.008688195439296144,0.001995427599136761,11550,5000,0.283094838893967,2562898.1106016864,9053143.182033135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1294392.9851523668,3768810.4078146145,2474417.422662248,0.3434486867443498
