,tag,time,alt,range,V,Vz,LD,pDOH,eff_p,mass,m_fl,m_bat,m_NOx,m_CO,oem,m_py,eff,P_req,P_tot,P_motor,P_power_el,P_cables,P_battery,P_loss_motor,P_loss_power_el,P_loss_cables,P_loss_battery,P_GT_out,P_GT_in,P_GT_loss,eta_GT
0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,18884.8098359244,0.0,0.0,0.0,0.0,11550,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06208974790458665
1,takeoff,13.916,0,0.0,53.495,0.0,6.154,0.0,0.64,18882.388983944133,2.4208519802665784,0.0,0.02190249216932472,0.008141407599386714,11550,5000,0.21452542034698135,1610413.2060960236,7506864.237773228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,813340.0030787998,2685483.517795703,1872143.5147169032,0.30286538632208965
2,climbout,3.933,30,0.0,63.222,7.629,10.5,0.0,0.8,18881.568599149672,0.8203847944620751,0.0,0.008579747586537045,0.0020020127773971723,11550,5000,0.2810313204931285,2528501.0827979343,8997221.656152587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1277020.7488878455,3752424.9413073943,2475404.1924195485,0.3403187988732733
3,climbout,3.932,60,0.0,63.222,7.63,10.5,0.0,0.8,18880.749005933056,0.819593216616429,0.0,0.00856414009825055,0.0020037606183868567,11550,5000,0.2812434834131463,2528576.454979702,8990702.37750265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1277058.815646314,3749080.4994913144,2472021.683845001,0.34063254065085796
4,climbout,3.932,90,0.0,63.222,7.63,10.5,0.0,0.8,18879.93004706306,0.8189588699969309,0.0,0.00854975718549326,0.0020061793739422715,11550,5000,0.2814518013553848,2528466.69693183,8983657.893662492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1277003.382288803,3745532.900843106,2468529.5185543033,0.3409403724637832
5,climbout,3.932,120,0.0,63.222,7.631,10.5,0.0,0.8,18879.1116727015,0.8183743615591516,0.0,0.008536326642083569,0.0020084481603278815,11550,5000,0.2816629215666533,2528542.2359479675,8977192.389696945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1277041.5333070543,3742214.1708412166,2465172.6375341625,0.3412529254091266
6,climbout,3.931,150,0.0,63.222,7.632,10.5,0.0,0.8,18878.294090536114,0.817582165384736,0.0,0.008520745768506248,0.002010208237445886,11550,5000,0.281873455182547,2528617.837183632,8970755.460268678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1277079.7157493092,3738907.0630847104,2461827.347335401,0.3415649798729365
7,climbout,3.931,180,0.0,63.222,7.619,10.5,0.0,0.8,18877.477794662234,0.8162958738787764,0.0,0.008494144945667722,0.0020146484012016196,11550,5000,0.2820370719345417,2526100.783564811,8956626.752071433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1275808.4765478845,3732583.0434002457,2456774.566852361,0.34180310570817735
8,climbout,3.938,210,0.0,63.222,7.601,10.5,0.0,0.8,18876.66158365861,0.8162110036239175,0.0,0.008477979607021336,0.0020234509897702952,11550,5000,0.282183667114397,2522658.170147039,8939773.857019002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1274069.782902545,3725189.345788016,2451119.562885471,0.3420147715023146
9,climbout,3.946,240,0.0,63.222,7.583,10.5,0.0,0.8,18875.84525389238,0.8163297662281497,0.0,0.008463951512235243,0.0020327756565445255,11550,5000,0.28232974304143527,2519215.8563388167,8922955.935142446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1272331.24057516,3717806.5525853625,2445475.3120102026,0.34222631612997206
10,climbout,3.957,270,0.0,63.222,7.564,10.5,0.0,0.8,18875.028240038395,0.8170138539859859,0.0,0.008455374817327188,0.0020438119304565547,11550,5000,0.28247195219845783,2515588.6429130444,8905622.747088369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1270499.3146025478,3710217.6526890583,2439718.33808651,0.342432556128271
11,climb,3.966,300,0.0,63.222,7.546,10.5,0.003484238609887132,0.8,18874.213303748464,0.814936289932373,0.0283774502557803,0.008398834625245615,0.002060901530171491,11550,5000,0.2830361389404669,2512146.8067846773,8875710.417011715,4653.332747423627,4845.202777409024,4894.144219605075,5151.730757479027,232.66663737118154,191.8700299853972,48.941442196050794,257.58653787395156,1264340.3474175623,3692637.6585605997,2428297.3111430374,0.34239491234306635
12,climb,34.119,544,2821.404,83.34,7.017,16.0,0.009987286258829454,0.73,18867.401059892607,6.812243855857746,0.6910222836686389,0.06872292242707943,0.018161545682353782,11550,5000,0.26192469903193716,2263671.364456351,8642450.951829998,12019.103621871684,12514.68515396885,12641.096115120052,13306.416963284266,600.9551810935847,495.5815320971661,126.41096115120062,665.3208481642139,1131850.2174462678,3332033.634746237,2200183.4172999696,0.33968751264795316
13,climb,34.773,788,2876.205,83.34,6.883,16.0,0.016614985660824574,0.73,18860.604279468327,6.796780424279939,1.1583698975947938,0.06725331536820683,0.018965266868331433,11550,5000,0.2637551960585025,2238052.387274033,8485339.514515648,19768.850782951762,20583.976242140525,20791.89519408134,21886.20546745404,988.442539147589,815.1254591887641,207.91895194081357,1094.310273372703,1111549.0802784348,3259914.9801720614,2148365.8998936266,0.34097486806842003
14,climb,35.45,1032,2933.149,83.34,6.749,16.0,0.023371720593120517,0.73,18853.822584449335,6.781695018991061,1.642161585941167,0.06580784367331732,0.01978191721678245,11550,5000,0.265606930260021,2212453.13397179,8329801.981468881,27490.077869517547,28623.571292708813,28912.69827546345,30434.41923732995,1374.5038934758786,1133.4934231912682,289.12698275463475,1521.7209618664988,1091284.9987369834,3188506.6867959094,2097221.6880589263,0.34225582880417355
15,climb,36.156,1276,2992.366,83.34,6.614,16.0,0.03026301842703003,0.73,18847.055189655974,6.767394793362548,2.1434553107695997,0.06438615901989733,0.02061589305361556,11550,5000,0.26747739735873205,2186688.5437205276,8175227.384868754,35181.177933434235,36631.79709853627,37001.81525104674,38949.27921162815,1759.0588966717132,1450.6191651020351,370.01815251046776,1947.463960581409,1070966.0343574432,3117618.5232380815,2046652.4888806383,0.34352055146410143
16,climb,36.891,1520,3053.996,83.34,6.48,16.0,0.03729440653386584,0.73,18840.30069781064,6.7544918453354645,2.6636649231006144,0.06300017563869276,0.021464917106310533,11550,5000,0.269374555293753,2161128.4453747757,8022763.8539136145,42848.48634434257,44615.2502544175,45065.909347896464,47437.799313575226,2142.4243172171305,1766.7639100749316,450.659093478965,2371.8899656787635,1050772.9507884178,3047682.9792168015,1996910.0284283836,0.34477764188532734
17,climb,37.655,1764,3118.189,83.34,6.345,16.0,0.044471412284940705,0.73,18833.559028356813,6.741669453826615,3.203452292282786,0.061629174765436584,0.022331102539597462,11550,5000,0.27129366916531517,2135402.778277704,7871185.438450012,50486.11235895566,52567.79712511002,53098.7849748586,55893.45786827221,2524.3056179477853,2081.684766154355,530.9878497485865,2794.672893413613,1030524.4449143982,2978228.5731507973,1947704.128236399,0.3460192593022374
18,climb,38.454,2008,3185.112,83.34,6.211,16.0,0.05180070664563205,0.73,18826.828315189363,6.730713167448885,3.7650443065347807,0.060296308454698286,0.023215601219588565,11550,5000,0.27324109371628685,2109881.1953551024,7721683.318783103,58103.847345946386,60499.63280502539,61110.74020709635,64327.09495483827,2905.1923672973217,2395.7854590790034,611.1074020709641,3216.3547477419165,1010397.9083320088,2909668.648136552,1899270.739804543,0.34725531684822636
19,climb,39.287,2252,3254.941,83.34,6.076,16.0,0.05928876998230654,0.73,18820.108239024077,6.720076165284434,4.3490490198909795,0.05897946967924137,0.024119513247302878,11550,5000,0.27521129542443196,2084193.8586406633,7573068.014619136,65693.40259621595,68402.12681821735,69093.05739213874,72729.53409698815,3284.6701298108005,2708.724222001405,690.930573921388,3636.476704849411,990214.4284632228,2841637.694776592,1851423.266313369,0.34846610821759705
