,tag,time,alt,range,V,Vz,LD,pDOH,eff_p,mass,m_fl,m_bat,m_NOx,m_CO,oem,m_py,eff,P_req,P_tot,P_motor,P_power_el,P_cables,P_battery,P_loss_motor,P_loss_power_el,P_loss_cables,P_loss_battery,P_GT_out,P_GT_in,P_GT_loss,eta_GT
0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,18609.920973302662,0.0,0.0,0.0,0.0,11550,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06208974790458665
1,takeoff,13.916,0,0.0,53.495,0.0,6.154,0.0,0.64,18607.52780671354,2.393166589120404,0.0,0.021459844439036688,0.008173799650278602,11550,5000,0.21384674252743655,1586971.8975299904,7421071.178235889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,801500.95834848,2657647.156724298,1856146.1983758176,0.30158290814510375
2,climbout,3.933,30,0.0,63.222,7.629,10.5,0.0,0.8,18606.717408125874,0.8103985876642239,0.0,0.00839211593588269,0.002032088692954227,11550,5000,0.28035523014334507,2491694.999370799,8887635.155216474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1258431.81786404,3709399.3361477214,2450967.5182836815,0.33925487762957984
3,climbout,3.932,60,0.0,63.222,7.63,10.5,0.0,0.8,18605.907798412387,0.8096097134893216,0.0,0.008376723505981867,0.0020338483587377413,11550,5000,0.28056926036452445,2491769.012494378,8881119.083598085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1258469.1982294838,3706061.0448035803,2447591.8465740965,0.33957055294435445
4,climbout,3.932,90,0.0,63.222,7.63,10.5,0.0,0.8,18605.0988220659,0.80897634648996,0.0,0.008362533652823493,0.0020362772684461763,11550,5000,0.2807793633551331,2491660.5914143967,8874087.33192017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1258414.440108281,3702523.023484338,2444108.583376057,0.3398802470981054
5,climbout,3.932,120,0.0,63.222,7.631,10.5,0.0,0.8,18604.290430005058,0.8083920608396827,0.0,0.008349271772373188,0.0020385651585342348,11550,5000,0.2809922991028842,2491734.7711729193,8867626.547518231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1258451.9046327875,3699210.935641497,2440759.031008709,0.34019468652293916
6,climbout,3.931,150,0.0,63.222,7.632,10.5,0.0,0.8,18603.48282747278,0.8076025322778325,0.0,0.008333905246406268,0.0020403370027691613,11550,5000,0.2812046565435525,2491809.013316987,8861193.992820883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1258489.400665145,3695910.4114133962,2437421.0107482513,0.34050863267106934
7,climbout,3.931,180,0.0,63.222,7.619,10.5,0.0,0.8,18602.676500475423,0.806326997358267,0.0,0.00830781274532695,0.0020446700720606246,11550,5000,0.2813693331863674,2489328.3430239717,8847191.393722868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1257236.5368807937,3689636.1305325693,2432399.5936517753,0.3407481096785882
8,climbout,3.938,210,0.0,63.222,7.601,10.5,0.0,0.8,18601.87026152879,0.8062389466326211,0.0,0.00829194563294369,0.0020533736294708524,11550,5000,0.2815166818459654,2485935.5879521146,8830508.983166825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1255523.0242182398,3682307.365346556,2426784.3411283162,0.34096095182974434
9,climbout,3.946,240,0.0,63.222,7.583,10.5,0.0,0.8,18601.063909637633,0.8063518911569253,0.0,0.008278166342332055,0.0020626068915296446,11550,5000,0.28166352734540095,2482543.129393654,8813860.824619079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1253809.6613099263,3674989.1019666055,2421179.440656679,0.3411737086890876
