,tag,time,alt,range,V,Vz,LD,pDOH,eff_p,mass,m_fl,m_bat,m_NOx,m_CO,oem,m_py,eff,P_req,P_tot,P_motor,P_power_el,P_cables,P_battery,P_loss_motor,P_loss_power_el,P_loss_cables,P_loss_battery,P_GT_out,P_GT_in,P_GT_loss,eta_GT
0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,18522.760825477315,0.0,0.0,0.0,0.0,11550,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06208974790458665
1,takeoff,13.916,0,0.0,53.495,0.0,6.154,0.0,0.64,18520.3764364402,2.384389037114417,0.0,0.021320432873416326,0.008183463195607555,11550,5000,0.21362819691411863,1579539.2649367722,7393870.695691767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,797747.1035034203,2648819.6219653296,1851072.5184619096,0.3011707920343479
2,climbout,3.933,30,0.0,63.222,7.629,10.5,0.0,0.8,18519.569204087744,0.8072323524568644,0.0,0.008333053382093244,0.0020413444237972196,11550,5000,0.28013701642565053,2480024.7422708715,8852899.10599544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1252537.7486216524,3695753.7848646366,2443216.0362429842,0.3389126607273511
3,climbout,3.932,60,0.0,63.222,7.63,10.5,0.0,0.8,18518.7627595035,0.8064445842416729,0.0,0.008317733565425324,0.0020431066617262296,11550,5000,0.28035153138049,2480098.3244544812,8846387.648542996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1252574.9113406471,3692417.4251165274,2439842.51377588,0.3392289568401432
4,climbout,3.932,90,0.0,63.222,7.63,10.5,0.0,0.8,18517.956947704748,0.8058117987520579,0.0,0.00830360979308456,0.0020455375222200576,11550,5000,0.28056208564324675,2479990.3272413653,8839363.742094636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1252520.3672936189,3688882.4686941267,2436362.1014005076,0.33953924472335223
5,climbout,3.932,120,0.0,63.222,7.631,10.5,0.0,0.8,18517.15171983564,0.8052278691069888,0.0,0.008290406582908904,0.0020478301136079334,11550,5000,0.2807754797078902,2480064.075927091,8832908.338389343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1252557.6141045913,3685572.591532028,2433014.9774274365,0.33985427854072603
6,climbout,3.931,150,0.0,63.222,7.632,10.5,0.0,0.8,18516.347280363956,0.8044394716847705,0.0,0.008275113101487897,0.002049604397155906,11550,5000,0.28098830106087486,2480137.8870127676,8826480.951872287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1252594.8924306908,3682274.33762652,2429679.445195829,0.34016881350509987
7,climbout,3.931,180,0.0,63.222,7.619,10.5,0.0,0.8,18515.544112803247,0.8031675607084379,0.0,0.008249184691056446,0.002053902968447478,11550,5000,0.28115322448818125,2477668.75276797,8812521.20539746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1251347.8549333182,3676015.896880187,2424668.0419468684,0.34040871694687985
8,climbout,3.938,210,0.0,63.222,7.601,10.5,0.0,0.8,18514.74103415078,0.8030786524704123,0.0,0.008233414313590004,0.0020625744866384623,11550,5000,0.2813007524257653,2474291.8062967183,8795894.731741533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1249642.326412484,3668707.7815948594,2419065.4551823754,0.34062193033789134
9,climbout,3.946,240,0.0,63.222,7.583,10.5,0.0,0.8,18513.937844300668,0.8031898501113323,0.0,0.008219715216853081,0.0020717782045520773,11550,5000,0.2814478107694364,2470915.1553375185,8779301.386578223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1247936.947140161,3661410.1143176504,2413473.1671774895,0.34083506304311656
