,tag,time,alt,range,V,Vz,LD,pDOH,eff_p,mass,m_fl,m_bat,m_NOx,m_CO,oem,m_py,eff,P_req,P_tot,P_motor,P_power_el,P_cables,P_battery,P_loss_motor,P_loss_power_el,P_loss_cables,P_loss_battery,P_GT_out,P_GT_in,P_GT_loss,eta_GT
0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19335.86445570577,0.0,0.0,0.0,0.0,11550,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06208974790458665
1,takeoff,13.916,0,0.0,53.495,0.0,6.154,0.0,0.64,19333.39815220967,2.4663034961030776,0.0,0.022638834844706582,0.008081932557361024,11550,5000,0.21560398349537657,1648877.152658236,7647711.911100171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832766.2387162808,2731150.3222998204,1898384.0835835396,0.30491409861872165
2,climbout,3.933,30,0.0,63.222,7.629,10.5,0.0,0.8,19332.561374009692,0.8367781999762445,0.0,0.008892210209348892,0.001949730624186306,11550,5000,0.28210200213382175,2588894.7740454176,9177158.454966633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1307522.6131542514,3823012.925082297,2515490.3119280455,0.3420136522625292
3,climbout,3.932,60,0.0,63.222,7.63,10.5,0.0,0.8,19331.72538869796,0.8359853117332546,0.0,0.008876307688257203,0.001951444002101209,11550,5000,0.28230983991982733,2588972.3752597766,9170677.0688369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1307561.8056867558,3819661.135040524,2512099.3293537684,0.3423240333262923
4,climbout,3.932,90,0.0,63.222,7.63,10.5,0.0,0.8,19330.89003605548,0.8353526424782548,0.0,0.008861669174806283,0.001953830227852023,11550,5000,0.2825138888438858,2588860.4220200414,9163657.166075181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1307505.2636464855,3816101.041242949,2508595.777596464,0.3426285754793892
5,climbout,3.932,120,0.0,63.222,7.631,10.5,0.0,0.8,19330.055264890172,0.834771165306593,0.0,0.008848025786388243,0.001956050949504481,11550,5000,0.28272066831128306,2588938.1895371787,9157230.014350023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1307544.5401702924,3812775.4445156953,2505230.904345403,0.3429377258634697
6,climbout,3.931,150,0.0,63.222,7.632,10.5,0.0,0.8,19329.221286995053,0.8339778951205875,0.0,0.008832154153686487,0.0019577759682091094,11550,5000,0.2829268917842196,2589016.018546197,9150830.457363406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1307583.8477506046,3809462.2489903443,2501878.4012397397,0.34324630677129436
7,climbout,3.931,180,0.0,63.222,7.619,10.5,0.0,0.8,19328.38861057617,0.8326764188840492,0.0,0.008804755399085883,0.00196238457722183,11550,5000,0.28308755233686844,2586439.262181724,9136534.760468429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1306282.4556473354,3803059.1657019923,2496776.710054657,0.3434820229535434
8,climbout,3.938,210,0.0,63.222,7.601,10.5,0.0,0.8,19327.556011884168,0.8325986920037349,0.0,0.008788130764820453,0.0019713413076688385,11550,5000,0.28323188019127826,2582914.8350546034,9119435.401517138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1304502.4419467694,3795560.862377201,2491058.4204304316,0.34369161482230726
9,climbout,3.946,240,0.0,63.222,7.583,10.5,0.0,0.8,19326.72328346836,0.8327284158094452,0.0,0.008773715843916646,0.0019808084962744366,11550,5000,0.283375926128999,2579390.7123686555,9102363.590315925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1302722.5820043716,3788074.59340929,2485352.0114049185,0.343900984492471
