,tag,time,alt,range,V,Vz,LD,pDOH,eff_p,mass,m_fl,m_bat,m_NOx,m_CO,oem,m_py,eff,P_req,P_tot,P_motor,P_power_el,P_cables,P_battery,P_loss_motor,P_loss_power_el,P_loss_cables,P_loss_battery,P_GT_out,P_GT_in,P_GT_loss,eta_GT
0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19594.54766542464,0.0,0.0,0.0,0.0,11550,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06208974790458665
1,takeoff,13.916,0,0.0,53.495,0.0,6.154,0.0,0.64,19592.05527098092,2.492394443722864,0.0,0.023066938194952192,0.008044255898963315,11550,5000,0.21620268580039198,1670936.5146929075,7728565.019935003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843907.3306529836,2757338.2608100534,1913430.9301570698,0.3060586880642855
2,climbout,3.933,30,0.0,63.222,7.629,10.5,0.0,0.8,19591.209079076194,0.8461919047260917,0.0,0.009074135322856365,0.0019180738430161386,11550,5000,0.2826947199151702,2623531.0060096364,9280438.654096171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1325015.6596008264,3863510.6946054245,2538495.035004598,0.34295638457813266
3,climbout,3.932,60,0.0,63.222,7.63,10.5,0.0,0.8,19590.363679664577,0.8453994116171623,0.0,0.009058085433771748,0.001919760217711247,11550,5000,0.2828997031047625,2623609.8839885346,9273993.062541207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1325055.4969639063,3860158.1084810873,2535102.6115171807,0.34326456578362674
4,climbout,3.932,90,0.0,63.222,7.63,10.5,0.0,0.8,19589.518910842773,0.8447688218025482,0.0,0.009043321822026813,0.0019221204635438485,11550,5000,0.2831009071438558,2623496.6700340877,9267001.990569307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1324998.3181990343,3856594.4677000027,2531596.1495009684,0.3435669291381931
5,climbout,3.932,120,0.0,63.222,7.631,10.5,0.0,0.8,19588.67472065622,0.844190186550271,0.0,0.009029577973534089,0.0019243060477470413,11550,5000,0.2833047998900335,2623575.713707301,9260611.591210801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1325038.2392461116,3853268.944125707,2528230.704879595,0.34387380129957634
6,climbout,3.931,150,0.0,63.222,7.632,10.5,0.0,0.8,19587.831323356804,0.8433972994175264,0.0,0.009013558523704166,0.001926004135636524,11550,5000,0.2835081744736877,2623654.8183070114,9254247.51218421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1325078.1910641473,3849956.496786155,2524878.3057220075,0.34418004259795887
7,climbout,3.931,180,0.0,63.222,7.619,10.5,0.0,0.8,19586.98923557317,0.8420877836337703,0.0,0.008985709491613371,0.001930707069528461,11550,5000,0.2836666691142352,2621043.8197947256,9239872.375485916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1323759.5049468311,3843510.5271341987,2519751.0221873675,0.3444141743860017
8,climbout,3.938,210,0.0,63.222,7.601,10.5,0.0,0.8,19586.14722084285,0.8420147303222646,0.0,0.008968829235259594,0.0019397487501265104,11550,5000,0.283809189307346,2617472.4696363946,9222648.76632254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1321955.7927456538,3835954.0027534883,2513998.2100078347,0.3446224307686536
9,climbout,3.946,240,0.0,63.222,7.583,10.5,0.0,0.8,19585.305069643196,0.8421511996543843,0.0,0.008954198485225365,0.0019492942798642146,11550,5000,0.28395161141517566,2613901.4266192354,9205446.708303262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320152.2356662806,3828410.179937993,2508257.9442717126,0.344830405734545
10,climbout,3.957,270,0.0,63.222,7.564,10.5,0.0,0.8,19584.462199769696,0.8428698734988499,0.0,0.008945312020657936,0.0019605159286668248,11550,5000,0.2840907291287684,2610138.530936624,9187693.44899509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1318251.7833013253,3820653.9515705653,2502402.1682692403,0.34503302314501116
11,climb,3.966,300,0.0,63.222,7.546,10.5,0.05576135460098356,0.8,19583.658791562284,0.8034082074132812,0.4712190479841853,0.008185761552348207,0.002094613310856409,11550,5000,0.2911930523227389,2606567.977121426,8951339.863124482,77270.47382447433,80456.55333660384,81269.24579454934,85546.57452057826,3863.52369122372,3186.0795121295096,812.6924579454941,4277.328726028917,1243041.5231603987,3643409.4892717693,2400367.966111371,0.34117535424459056
12,climb,34.119,544,2821.404,83.34,7.017,16.0,0.06670039637234469,0.73,19576.972300150515,6.686491411769931,4.7884829367394275,0.06645604444009683,0.018503566384320557,11550,5000,0.2699799252345158,2348758.4305799473,8699752.133569628,83287.14423315722,86721.30803119244,87597.28083958833,92207.66404167193,4164.357211657864,3434.163798035218,875.9728083958842,4610.383202083601,1107118.8445845346,3275021.6930976966,2167902.848513162,0.3380493164115076
13,climb,34.773,788,2876.205,83.34,6.883,16.0,0.07784911994324478,0.73,19570.330869307498,6.641430843019201,5.6316342914040005,0.06451604911977202,0.019360172180601102,11550,5000,0.2724241903827257,2322221.7756894846,8524286.233271066,96110.0061405984,100072.89269116867,101083.72999107947,106403.92630639944,4805.500307029924,3962.886550570276,1010.8372999107955,5320.196315319977,1081534.7748176865,3190811.849163002,2109277.0743453153,0.338952851482418
14,climb,35.45,1032,2933.149,83.34,6.749,16.0,0.08921489944424868,0.73,19563.735096730357,6.595772577140048,6.50436880761543,0.06260660687031937,0.020220824667330387,11550,5000,0.27491739029965223,2295707.9859736497,8350537.53227976,108884.2940574151,113373.90051792492,114519.0914322474,120546.41203394464,5444.2147028707595,4489.606460509824,1145.190914322475,6027.320601697237,1056008.3984099252,3107392.9726623953,2051384.5742524704,0.3398374160269609
15,climb,36.156,1276,2992.366,83.34,6.614,16.0,0.1008070326921555,0.73,19557.185296579948,6.549800150409662,7.408757498647015,0.06072631050845293,0.0210891254204296,11550,5000,0.27746036506622695,2269025.032816863,8177834.81354272,121602.16941121145,126616.16973262333,127895.12094204377,134626.4430968882,6080.108470560578,5014.00032141188,1278.9512094204388,6731.322154844415,1030450.1778557446,3024606.0329843173,1994155.8551285728,0.34068905722542
16,climb,36.891,1520,3053.996,83.34,6.48,16.0,0.11263481750376438,0.73,19550.681187338236,6.50410924171052,8.34778776575021,0.05888729045473802,0.021962126972801508,11550,5000,0.2800602824846507,2242556.676923263,8007407.037612236,134284.9346342903,139821.88112691615,141234.22336052137,148667.6035373909,6714.24673171452,5536.946492625875,1412.342233605215,7433.380176869552,1005033.6943819005,2942807.7151838182,1937774.0208019176,0.3415220400559275
17,climb,37.655,1764,3118.189,83.34,6.345,16.0,0.12470755169587444,0.73,19544.223905543968,6.457281794267516,9.321893905006602,0.057068660078103566,0.02284066937064049,11550,5000,0.2827174672508781,2215918.9279561318,7837927.205218514,146912.18727376714,152969.79099725856,154514.94040127128,162647.30568554872,7345.609363688363,6057.603723491434,1545.149404012714,8132.365284277444,979584.3958051393,2861537.287761142,1881952.8919560027,0.34232802067435686
18,climb,38.454,2008,3185.112,83.34,6.211,16.0,0.1370364567715191,0.73,19537.81291877979,6.410986764177196,10.336096606611374,0.055292175715984604,0.023725347837213053,11550,5000,0.28543816023598456,2189495.3807737436,7670647.0465041865,159511.26480533858,166088.36402055246,167766.0242631843,176595.81501387822,7975.563240266936,6577.099215213872,1677.6602426318445,8829.79075069392,954270.0463004553,2781258.589846065,1826988.5435456093,0.3431072715727852
19,climb,39.287,2252,3254.941,83.34,6.076,16.0,0.14963243361935946,0.73,19531.449248784214,6.363669995574241,11.390594363095294,0.05353737692664666,0.024615503610490173,11550,5000,0.2882186758656519,2162902.2698283144,7504379.316614837,172057.5918741346,179152.0115307524,180961.62780884083,190485.92400930615,8602.879593706739,7094.41965661779,1809.61627808841,9524.296200465316,928920.171471246,2701579.647085899,1772659.475614653,0.3438433408666075
20,climb,40.157,2496,3327.873,83.34,5.942,16.0,0.16250734497117364,0.73,19525.13303282773,6.316215956486566,12.490410017701985,0.051817124710297646,0.025510266278271677,11550,5000,0.29107486304319197,2136522.9186437386,7340114.82924482,184583.02338057247,192193.9018956398,194135.2544400402,204352.89941056864,9229.151169028632,7610.87851506733,1941.3525444004038,10217.644970528441,903698.1069014556,2622778.532535686,1719080.4256342307,0.3445575353355381
21,climb,41.067,2740,3404.118,83.34,5.807,16.0,0.17567401540185706,0.73,19518.865217061008,6.26781576672313,13.636799967793925,0.050119327677207705,0.02641041400622986,11550,5000,0.29399703246944797,2109973.88506451,7176854.362581968,197058.79042123284,205184.07998878887,207256.6464533221,218164.89100349694,9852.939521061651,8125.289567556033,2072.5664645332226,10908.244550174857,878437.525395036,2544489.767996182,1666052.2426011462,0.3452313058766263
22,climb,42.019,2984,3483.91,83.34,5.672,16.0,0.1891459107150498,0.73,19512.64649945826,6.218717602748009,14.834057462125768,0.04844884689601258,0.027314574573970792,11550,5000,0.29699515905268353,2083446.7474903637,7015086.556076774,209503.1538970618,218141.5596595812,220345.00975715273,231942.11553384498,10475.1576948531,8638.40576251941,2203.450097571529,11597.105776692259,853217.8358636316,2466960.030207699,1613742.1943440675,0.3458579893537218
23,climb,43.017,3228,3567.503,83.34,5.537,16.0,0.20293777917188152,0.73,19506.4775855265,6.16891393175901,16.086435541782034,0.04680512997645553,0.028222901468491938,11550,5000,0.3000761333422603,2056941.387202441,6854731.711889724,221919.78575523268,231070.16425992572,233404.2063231573,245688.63823490244,11095.989287761644,9150.378504693052,2334.042063231575,12284.431911745132,828035.4899984084,2390130.818814261,1562095.3288158528,0.3464394013417203
24,climb,44.064,3472,3655.177,83.34,5.403,16.0,0.21706533087659904,0.73,19500.35869551647,6.118890010029662,17.399795224342313,0.04519518109534058,0.02913461730953776,11550,5000,0.30324198350348686,2030649.0411136483,6696464.050434819,234334.66560530712,243996.94461193992,246461.56021408073,259433.22127797973,11716.733280265367,9662.279006632813,2464.6156021408096,12971.661063898999,802962.3914697302,2314088.7420720593,1511126.3506023292,0.34698859074468735
25,climb,45.164,3716,3747.238,83.34,5.268,16.0,0.23154555839093868,0.73,19494.291231533363,6.067463983103169,18.775950214428608,0.04360380688626628,0.03004923982957213,11550,5000,0.3064970257135242,2004186.7568695038,6539008.827911993,246709.4852414002,256882.0129543942,259476.78076201433,273133.4534336993,12335.47426207002,10172.527712994002,2594.7678076201455,13656.672671684979,777841.5227931464,2238493.589843007,1460652.0670498605,0.34748436462920546
26,climb,46.32,3960,3844.026,83.34,5.133,16.0,0.24639641611975396,0.73,19488.27643907312,6.0147924602413765,20.221264652610397,0.04203484764486419,0.030965033368865618,11550,5000,0.3098540367243487,1977745.8970317969,6382830.82557105,259069.37853491906,269751.5394990827,272476.30252432596,286817.1605519221,12953.468926745965,10682.160964163668,2724.763025243262,14340.858027596118,752745.6545493001,2163562.0859796684,1410816.4314303682,0.34791959954708407
27,climb,47.538,4204,3945.916,83.34,4.998,16.0,0.2616377821541326,0.73,19482.31544762014,5.960991452980157,21.742334113870566,0.04048959118118792,0.03188189320270381,11550,5000,0.3133174299720036,1951326.3819916393,6227953.491658601,271419.8335157577,282611.2385628464,285465.89753822866,300490.41846129333,13570.991675787896,11191.405047088709,2854.658975382289,15024.52092306468,727669.5329032823,2089277.5340376291,1361608.001134347,0.3482876358207069
28,climb,48.822,4448,4053.323,83.34,4.863,16.0,0.277290817042652,0.73,19476.409762107636,5.905685512503834,23.345353417207072,0.03896523740943362,0.032797712780637915,11550,5000,0.31689883161684457,1924928.1140798638,6074266.996374578,283766.5547589456,295467.04993642814,298451.56559235166,314159.54272879125,14188.327737947293,11700.495177482546,2984.5156559235193,15707.977136439576,702607.6891809531,2015597.3772032934,1312989.6880223404,0.34858533610310805
29,climb,50.177,4692,4166.709,83.34,4.728,16.0,0.29337828440575137,0.73,19470.561260557657,5.848501549979239,25.03743380788456,0.03745912860596559,0.03371023595108404,11550,5000,0.3206131382958872,1898551.0262425423,5921625.783440007,296115.70597332047,308325.39147576055,311439.78936945513,327831.35723100544,14805.785298666036,12209.685502440108,3114.397893694554,16391.567861550287,677554.2339932964,1942422.9655866127,1264868.7315933164,0.3488191017081981
30,climb,51.611,4936,4286.59,83.34,4.593,16.0,0.309925512778849,0.73,19464.77133527791,5.789925279747304,26.82783245470233,0.03597699439526742,0.03461941910489457,11550,5000,0.3244467914055008,1872195.079327933,5770422.543609075,308474.7580982178,321194.0421680735,324438.42643239745,341514.13308673416,15423.737904910902,12719.2840698557,3244.3842643239773,17075.706654336722,652502.0501743362,1869728.025635191,1217225.9754608548,0.3489823339160067
31,climb,53.128,5180,4413.539,83.34,4.457,16.0,0.3269591131548528,0.73,19459.042553835505,5.7287814424054915,28.721404222042846,0.0345092009403602,0.03551991412506209,11550,5000,0.3284104179494624,1845669.2287681717,5620008.160192389,320817.8491309105,334046.07364734536,337420.27641145996,355179.2383278526,16040.892456545538,13228.224516434866,3374.2027641146024,17758.961916392647,627379.2194711763,1797515.0461045995,1170135.8266334233,0.34902585145574816
