,tag,time,alt,range,V,Vz,LD,pDOH,eff_p,mass,m_fl,m_bat,m_NOx,m_CO,oem,m_py,eff,P_req,P_tot,P_motor,P_power_el,P_cables,P_battery,P_loss_motor,P_loss_power_el,P_loss_cables,P_loss_battery,P_GT_out,P_GT_in,P_GT_loss,eta_GT
0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19834.79310623192,0.0,0.0,0.0,0.0,11550,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06208974790458665
1,takeoff,13.916,0,0.0,53.495,0.0,6.154,0.0,0.64,19832.276458240955,2.5166479909627943,0.0,0.023468434706348955,0.008006919709920929,11550,5000,0.21674564759273196,1691423.5851978173,7803725.721754863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,854254.3359584936,2781659.081629688,1927404.7456711943,0.30710245608459413
2,climbout,3.933,30,0.0,63.222,7.629,10.5,0.0,0.8,19831.421510888307,0.8549473526489753,0.0,0.0092449745845402,0.0018875604455141721,11550,5000,0.283231469051037,2655698.5210743076,9376424.625315074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1341261.8793304584,3901148.021313242,2559886.141982784,0.34381209633746473
3,climbout,3.932,60,0.0,63.222,7.63,10.5,0.0,0.8,19830.567355752024,0.8541551362818084,0.0,0.009228786109520716,0.0018892196191630586,11550,5000,0.28343396183354636,2655778.5831135046,9370008.329041304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1341302.3147037902,3897797.886949176,2556495.572245386,0.34411797471459804
4,climbout,3.932,90,0.0,63.222,7.63,10.5,0.0,0.8,19829.713829467084,0.8535262849383072,0.0,0.00921390274585351,0.001891553870055451,11550,5000,0.28363269210496,2655664.1966124484,9363039.84178842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1341244.543743661,3894234.2055755616,2552989.661831901,0.3444180480525123
5,climbout,3.932,120,0.0,63.222,7.631,10.5,0.0,0.8,19828.86087944475,0.8529500223346974,0.0,0.009200060865789252,0.001893705028061438,11550,5000,0.2838340798855338,2655744.4238183927,9356679.17287951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1341285.0625345418,3890912.1782539994,2549627.115719457,0.3447225229165742
6,climbout,3.931,150,0.0,63.222,7.632,10.5,0.0,0.8,19828.008722297942,0.8521571468069687,0.0,0.009183897461416077,0.0018953768689244056,11550,5000,0.28403498547473266,2655824.711461226,9350343.61003914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1341325.611849104,3887603.8774407897,2546278.2655916857,0.3450263077554339
7,climbout,3.931,180,0.0,63.222,7.619,10.5,0.0,0.8,19827.157882465584,0.8508398323571181,0.0,0.009155620308058778,0.0019001684426384739,11550,5000,0.2841915082271027,2653181.90985467,9335894.398837784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1339990.8635629646,3881120.1340645095,2541129.2705015447,0.34525879572804075
8,climbout,3.938,210,0.0,63.222,7.601,10.5,0.0,0.8,19826.30711157331,0.8507708922720303,0.0,0.009138496220488927,0.0019092887254616778,11550,5000,0.2843322812314769,2649566.979606769,9318558.44201432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1338165.14121554,3873510.9660914643,2535345.8248759243,0.3454656906692083
9,climbout,3.946,240,0.0,63.222,7.583,10.5,0.0,0.8,19825.456198115913,0.8509134573986803,0.0,0.009123660054752764,0.0019189063022617334,11550,5000,0.28447307237962083,2645952.359041976,9301240.138156315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1336339.5752737252,3865914.958228009,2529575.3829542836,0.34567226380123306
