,tag,time,alt,range,V,Vz,LD,pDOH,eff_p,mass,m_fl,m_bat,m_NOx,m_CO,oem,m_py,eff,P_req,P_tot,P_motor,P_power_el,P_cables,P_battery,P_loss_motor,P_loss_power_el,P_loss_cables,P_loss_battery,P_GT_out,P_GT_in,P_GT_loss,eta_GT
0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,18792.8865850665,0.0,0.0,0.0,0.0,11550,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06208974790458665
1,takeoff,13.916,0,0.0,53.495,0.0,6.154,0.0,0.64,18790.47499178884,2.411593277659694,0.0,0.021753964627821996,0.008152563486645921,11550,5000,0.21430026033825486,1602574.3971053588,7478172.889644793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,809381.0086390701,2676175.615764713,1866794.607125643,0.3024394228357808
2,climbout,3.933,30,0.0,63.222,7.629,10.5,0.0,0.8,18789.657946505693,0.8170452831482619,0.0,0.008516773055405076,0.002012219868064173,11550,5000,0.2808072550011982,2516193.0729964967,8960570.028668812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1270804.582321463,3738038.544323841,2467233.962002378,0.33996561759673716
3,climbout,3.932,60,0.0,63.222,7.63,10.5,0.0,0.8,18788.841692051057,0.8162544546371148,0.0,0.008501234681051628,0.002013972375813311,11550,5000,0.281020107871596,2516267.9907217138,8954049.622212265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1270842.419556421,3734696.1194238174,2463853.699867396,0.3402800064366373
4,climbout,3.932,90,0.0,63.222,7.63,10.5,0.0,0.8,18788.026071781966,0.8156202690920556,0.0,0.008486913290074873,0.002016395289673116,11550,5000,0.28122909255253803,2516158.679793205,8947007.071550205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1270787.2120167704,3731151.6580101126,2460364.445993342,0.3405884639635643
5,climbout,3.932,120,0.0,63.222,7.631,10.5,0.0,0.8,18787.211036121105,0.8150356608585115,0.0,0.008473535934701154,0.002018671275008495,11550,5000,0.2814408911275806,2516233.764329138,8940540.780154433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1270825.1334995648,3727835.041587188,2457009.9080876233,0.34090165453203364
6,climbout,3.931,150,0.0,63.222,7.632,10.5,0.0,0.8,18786.396791937055,0.8142441840514764,0.0,0.008458023615799462,0.00202043605882235,11550,5000,0.28165210391666945,2516308.9111634674,8934103.016350808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1270863.0864461956,3724529.9872810068,2453666.900834811,0.3412143520890149
7,climbout,3.931,180,0.0,63.222,7.619,10.5,0.0,0.8,18785.583830577783,0.8129613592714477,0.0,0.008431590893131231,0.002024840763078754,11550,5000,0.2818161327108949,2513804.024287449,8920014.62125758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1269597.9920643682,3718222.5303752674,2448624.538310899,0.34145293394697174
8,climbout,3.938,210,0.0,63.222,7.601,10.5,0.0,0.8,18784.77095524883,0.8128753289518952,0.0,0.008415523811430852,0.0020336106338393486,11550,5000,0.2819630225729546,2510378.083696592,8903217.382155355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1267867.719038683,3710850.489519717,2442982.770481034,0.34166499637197156
9,climbout,3.946,240,0.0,63.222,7.583,10.5,0.0,0.8,18783.957963169454,0.8129920793763952,0.0,0.008401577948025086,0.00204290508308351,11550,5000,0.28210938272726843,2506952.4416924864,8886455.379316835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1266137.596814387,3703489.183496285,2437351.586681898,0.3418769528088881
