,tag,time,alt,range,V,Vz,LD,pDOH,eff_p,mass,m_fl,m_bat,m_NOx,m_CO,oem,m_py,eff,P_req,P_tot,P_motor,P_power_el,P_cables,P_battery,P_loss_motor,P_loss_power_el,P_loss_cables,P_loss_battery,P_GT_out,P_GT_in,P_GT_loss,eta_GT
0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19846.17512320051,0.0,0.0,0.0,0.0,11550,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06208974790458665
1,takeoff,13.916,0,0.0,53.495,0.0,6.154,0.0,0.64,19843.65732555346,2.5177976470500485,0.0,0.023487550974276093,0.008005094597314428,11550,5000,0.21677105855756196,1692394.1933531277,7807288.50343149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,854744.5420975393,2782811.3112015245,1928066.7691039853,0.3071514545944868
2,climbout,3.933,30,0.0,63.222,7.629,10.5,0.0,0.8,19842.801963063856,0.8553624896049435,0.0,0.009253114013646528,0.0018860880493600594,11550,5000,0.2832565760688388,2657222.509132562,9380973.765942816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342031.570268971,3902931.992934473,2560900.422665502,0.3438521533807065
3,climbout,3.932,60,0.0,63.222,7.63,10.5,0.0,0.8,19841.947392790964,0.8545702728909825,0.0,0.009236918709000121,0.0018877459240336212,11550,5000,0.2834589599618583,2657302.6272238763,9374558.587181149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342072.0339514527,3899582.0598890698,2557510.025937617,0.34415791573049503
4,climbout,3.932,90,0.0,63.222,7.63,10.5,0.0,0.8,19841.0934513036,0.8539414873647909,0.0,0.009222029350761062,0.0018900789421702777,11550,5000,0.2836575825598553,2657188.185128676,9367590.885986542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342014.2349134726,3896018.462297636,2554004.2273841635,0.3444578735702484
5,climbout,3.932,120,0.0,63.222,7.631,10.5,0.0,0.8,19840.24008598542,0.8533653181798562,0.0,0.009208182463910882,0.00189222847264728,11550,5000,0.2838588614257511,2657268.4683657517,9361231.33524515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342054.782002905,3892696.689206438,2550641.907203533,0.3447622276156571
6,climbout,3.931,150,0.0,63.222,7.632,10.5,0.0,0.8,19839.3875135628,0.8525724226209288,0.0,0.009192011835451111,0.0018938990864351608,11550,5000,0.28405965959623175,2657348.812019058,9354896.84031963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342095.359605585,3889388.6723144553,2547293.31270887,0.345065888929775
7,climbout,3.931,180,0.0,63.222,7.619,10.5,0.0,0.8,19838.536258840362,0.8512547224366835,0.0,0.009163713996732721,0.0018986949157951732,11550,5000,0.28421609478583654,2654704.503654318,9340443.952179061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1340759.8503304636,3882903.192382847,2542143.3420523833,0.3452982945752172
8,climbout,3.938,210,0.0,63.222,7.601,10.5,0.0,0.8,19837.68507287508,0.8511859652844568,0.0,0.009146578075672037,0.0019078189396353061,11550,5000,0.284356787699967,2651087.5086963573,9323102.606903818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1338933.0852001805,3875291.56673287,2536358.4815326896,0.34550512190983107
9,climbout,3.946,240,0.0,63.222,7.583,10.5,0.0,0.8,19836.833744065138,0.8513288099421848,0.0,0.009131731957157718,0.0019174399319188036,11550,5000,0.284497502055107,2647470.823543614,9305778.800935835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1337106.4765371787,3867693.1167958146,2530586.6402586363,0.34571162606740186
10,climbout,3.957,270,0.0,63.222,7.564,10.5,0.0,0.8,19835.98168430577,0.8520597593672061,0.0,0.009122734105749791,0.0019287235702220601,11550,5000,0.28463511229217686,2643659.8206183314,9287890.729041977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1335181.7275850158,3859879.714586713,2524697.9870016975,0.345912781307481
11,climb,3.966,300,0.0,63.222,7.546,10.5,0.23042940668137205,0.8,19835.294860396003,0.6868239097684451,1.9722840937117414,0.006182951576375675,0.00233416373245768,11550,5000,0.3156061267027388,2640043.6287541534,8364994.863489268,323415.0382704711,336750.3522183164,340151.87092759233,358054.600976413,16170.751913523569,13335.31394784532,3401.5187092759265,17902.730048820667,1026111.0817007057,3141169.960278085,2115058.8785773795,0.32666525360820176
12,climb,34.119,544,2821.404,83.34,7.017,16.0,0.2383436683741086,0.73,19829.575624428766,5.71923596723546,17.330774675132815,0.050274956844877226,0.020282737951788303,11550,5000,0.29228957974378156,2378938.303728362,8138977.4682139475,301438.0022043048,313867.1409874061,317037.516148895,333723.7012093632,15071.900110215252,12429.13878310127,3170.375161488953,16686.185060468175,915117.8896879116,2830561.520231427,1915443.6305435156,0.32329906385963003
13,climb,34.773,788,2876.205,83.34,6.883,16.0,0.246409632260551,0.73,19823.88967877703,5.685945651735227,18.05536662621085,0.04891494003293417,0.020936874577577248,11550,5000,0.2946717119138932,2352185.599066095,7982393.639988875,308134.60312304104,320839.86164414935,324080.66832742357,341137.5456078143,15406.730156152065,12705.258521108304,3240.8066832742384,17056.87728039073,895244.651813967,2760149.596452931,1864904.9446389638,0.32434642418093795
14,climb,35.45,1032,2933.149,83.34,6.749,16.0,0.2546326334331384,0.73,19818.237133906467,5.652544870563783,18.804965182799293,0.047579367084235366,0.021595299320967466,11550,5000,0.2970849897575873,2325451.8358707456,7827564.219142295,314798.47149904,327778.5001031237,331089.3940435593,348515.1516247993,15739.923574952016,12980.028604083689,3310.893940435596,17425.75758123998,875412.0762530563,2690511.879881726,1815099.8036286698,0.3253700839602087
15,climb,36.156,1276,2992.366,83.34,6.614,16.0,0.2630193987475551,0.73,19812.617953101966,5.619180804501487,19.581933719062874,0.04626551281100848,0.022261271026446025,11550,5000,0.2995358415560255,2298542.478764697,7673680.941900822,321404.1790326452,334656.57958417863,338036.9490749279,355828.36744729255,16070.208951632274,13252.400551533463,3380.369490749282,17791.418372364642,855546.0696991371,2621414.674350643,1765868.6046515058,0.3263680783014868
16,climb,36.891,1520,3053.996,83.34,6.48,16.0,0.27157665505948525,0.73,19807.0316568804,5.586296221564244,20.390444290646265,0.04498121761975796,0.022933502554156583,11550,5000,0.3020341762794724,2271846.280754335,7521818.586027148,328006.599540986,341531.2365066493,344981.0469764134,363137.94418569835,16400.329977049314,13524.636965663301,3449.810469764137,18156.897209284933,835790.8419281518,2553170.4997340753,1717379.6578059234,0.3273541042461533
