,tag,time,alt,range,V,Vz,LD,pDOH,eff_p,mass,m_fl,m_bat,m_NOx,m_CO,oem,m_py,eff,P_req,P_tot,P_motor,P_power_el,P_cables,P_battery,P_loss_motor,P_loss_power_el,P_loss_cables,P_loss_battery,P_GT_out,P_GT_in,P_GT_loss,eta_GT
0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19131.0776612361,0.0,0.0,0.0,0.0,11550,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06208974790458665
1,takeoff,13.916,0,0.0,53.495,0.0,6.154,0.0,0.64,19128.63199876612,2.445662469982688,0.0,0.022302952133007446,0.00810991215283276,11550,5000,0.21511972570235222,1631413.8389625552,7583748.229671141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,823946.3833144217,2710417.701251489,1886471.3179370675,0.3039924004827664
2,climbout,3.933,30,0.0,63.222,7.629,10.5,0.0,0.8,19127.802665590956,0.8293331751612485,0.0,0.008749621215562449,0.0019739226378752126,11550,5000,0.28162178122789533,2561474.968154191,9095443.38859707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1293674.2263405006,3790963.672648466,2497289.4463079656,0.34125207679363123
3,climbout,3.932,60,0.0,63.222,7.63,10.5,0.0,0.8,19126.974125159,0.8285404319567752,0.0,0.008733844165018332,0.0019756540070471375,11550,5000,0.2818317533598072,2561551.5576332696,9088938.798045954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1293712.9078955906,3787614.5092668356,2493901.601371245,0.3415640384549095
4,climbout,3.932,90,0.0,63.222,7.63,10.5,0.0,0.8,19126.146218618214,0.8279065407845129,0.0,0.008719312962736656,0.001978057431827104,11550,5000,0.28203792141873185,2561440.6013947953,9081901.428396624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1293656.8693913107,3784059.3119209637,2490402.4425296527,0.3418701354167175
5,climbout,3.932,120,0.0,63.222,7.631,10.5,0.0,0.8,19125.31889540004,0.8273232181735464,0.0,0.00870575720521887,0.001980302514949222,11550,5000,0.28224685460882865,2561517.3575399816,9075450.499138556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1293695.6351212028,3780735.93596588,2487040.3008446773,0.34218090261590756
6,climbout,3.931,150,0.0,63.222,7.632,10.5,0.0,0.8,19124.49236541034,0.8265299896992211,0.0,0.00869000920466548,0.0019820458091169752,11550,5000,0.28245521085060027,2561594.1755703148,9069027.857040403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1293734.4321062197,3777424.5213641077,2483690.089257888,0.3424911404024626
7,climbout,3.931,180,0.0,63.222,7.619,10.5,0.0,0.8,19123.667130327085,0.8252350832565482,0.0,0.008662968085990416,0.001986578977945868,11550,5000,0.28261739515545514,2559044.5258377884,9054801.897208672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1292446.7302211053,3771056.7755760197,2478610.0453549144,0.3427279956620879
8,climbout,3.938,210,0.0,63.222,7.601,10.5,0.0,0.8,19122.84197647947,0.8251538476138649,0.0,0.008646547850355986,0.001995466982273228,11550,5000,0.28276292394263947,2555557.244153293,9037808.806474594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1290685.4768450975,3763605.5522824074,2472920.07543731,0.34293856221525976
9,climbout,3.946,240,0.0,63.222,7.583,10.5,0.0,0.8,19122.016698089665,0.8252783898047092,0.0,0.008632305441214445,0.0020048706207146266,11550,5000,0.2829080330692459,2552070.2647502553,9020847.64813164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1288924.3761364925,3756165.8112385287,2467241.435102036,0.3431489558528016
