,tag,time,alt,range,V,Vz,LD,pDOH,eff_p,mass,m_fl,m_bat,m_NOx,m_CO,oem,m_py,eff,P_req,P_tot,P_motor,P_power_el,P_cables,P_battery,P_loss_motor,P_loss_power_el,P_loss_cables,P_loss_battery,P_GT_out,P_GT_in,P_GT_loss,eta_GT
0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19360.24376220476,0.0,0.0,0.0,0.0,11550,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06208974790458665
1,takeoff,13.916,0,0.0,53.495,0.0,6.154,0.0,0.64,19357.77500070982,2.4687614949406496,0.0,0.022678997498284968,0.008078493113009913,11550,5000,0.21566102843404253,1650956.112281475,7655328.940371817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,833816.2183239773,2733618.4174807295,1899802.1991567523,0.305022900413589
2,climbout,3.933,30,0.0,63.222,7.629,10.5,0.0,0.8,19356.937335832834,0.8376648769830425,0.0,0.0089092680147611,0.0019467997373300268,11550,5000,0.28215852237819905,2592159.026671515,9186889.004178446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1309171.2255916742,3826828.753998711,2517657.5284070363,0.34210342551223427
3,climbout,3.932,60,0.0,63.222,7.63,10.5,0.0,0.8,19356.100463824703,0.8368720081308975,0.0,0.008893351258138156,0.0019485107453369164,11550,5000,0.28236609396418644,2592236.748281002,9180410.834346794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1309210.478929799,3823476.7569742366,2514266.2780444375,0.34241360995374837
4,climbout,3.932,90,0.0,63.222,7.63,10.5,0.0,0.8,19355.2642243046,0.8362395201022551,0.0,0.008878700660628777,0.0019508946926639432,11550,5000,0.2825698777855865,2592124.676296914,9173393.486278864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1309153.8769176332,3819916.1921839262,2510762.315266293,0.34271795794796284
5,climbout,3.932,120,0.0,63.222,7.631,10.5,0.0,0.8,19354.428566006594,0.8356582980050994,0.0,0.00886504753568212,0.0019531122753336586,11550,5000,0.2827763880121905,2592202.5641562166,9166969.64120097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1309193.2142203115,3816590.4550817073,2507397.240861396,0.34302690572344463
6,climbout,3.931,150,0.0,63.222,7.632,10.5,0.0,0.8,19353.593700951664,0.8348650549314233,0.0,0.008849161796928049,0.001954834902657425,11550,5000,0.2829823453967338,2592280.513455836,9160573.285310527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1309232.5825534526,3813277.178550705,2504044.5959972525,0.3433352786201203
7,climbout,3.931,180,0.0,63.222,7.619,10.5,0.0,0.8,19352.760138133603,0.8335628180617112,0.0,0.008821720714447083,0.001959452417582959,11550,5000,0.283142809361528,2589700.530053593,9146269.813078532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1307929.5606331278,3806869.964452284,2498940.403819156,0.343570852917564
8,climbout,3.938,210,0.0,63.222,7.601,10.5,0.0,0.8,19351.926652606067,0.8334855275342318,0.0,0.008805072006860482,0.001968417219628372,11550,5000,0.2832869778479942,2586171.680793239,9129158.355386613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1306147.3135319387,3799366.1112471367,2493218.7977151982,0.3437803242139246
9,climbout,3.946,240,0.0,63.222,7.583,10.5,0.0,0.8,19351.093036722843,0.8336158832246866,0.0,0.008790636753435178,0.0019778918658764967,11550,5000,0.2834308823222201,2582643.1362288627,9112073.868128348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1304365.2203176075,3791874.3587063453,2487509.138388738,0.34398956740819103
10,climbout,3.957,270,0.0,63.222,7.564,10.5,0.0,0.8,19350.25871373181,0.834322991032307,0.0,0.008781850578774586,0.001989054495038654,11550,5000,0.28357124922516663,2578925.0344217313,9094451.71704965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1302487.3911220864,3784172.331047845,2481684.939925759,0.34419346614730545
11,climb,3.966,300,0.0,63.222,7.546,10.5,0.3545719614236274,0.8,19349.671190245648,0.5875234861625683,2.9605270785421633,0.004695246030323015,0.002392691068053735,11550,5000,0.33300443846884287,2575396.975303273,7733821.768697647,485467.0691003503,505484.2452106938,510590.1466774685,537463.3122920721,24273.35345501754,20017.17611034346,5105.90146677469,26873.16561460363,839511.8274371285,2704519.7741897055,1865007.946752577,0.3104106819439516
12,climb,34.119,544,2821.404,83.34,7.017,16.0,0.3572795519186785,0.73,19344.759839713544,4.9113505321051685,25.34296630528378,0.038462559615017676,0.020613622340348928,11550,5000,0.30778764389341684,2320695.2194561698,7539923.273397546,440795.82570288127,458971.080490297,463607.152010401,488007.52843200107,22039.79128514408,18175.254787415746,4636.071520104014,24400.376421600075,753312.258236894,2454087.6436946946,1700775.3854578007,0.3069622473233117
13,climb,34.773,788,2876.205,83.34,6.883,16.0,0.3600390420644745,0.73,19339.854227582902,4.905612130640856,25.73642092640316,0.037749242276654466,0.02113701306156468,11550,5000,0.30960570013640426,2294676.71795811,7411610.047706275,439220.20594433293,457330.4934863941,461949.99342060013,486263.1509690528,21961.010297216668,18110.287542061193,4619.4999342060055,24313.157548452662,741668.4396852624,2403357.2799099647,1661688.8402247024,0.3085968307271597
14,climb,35.45,1032,2933.149,83.34,6.749,16.0,0.36285225707809043,0.73,19334.953755064107,4.900472518793931,26.142831584520618,0.037050120431789416,0.021671029780030004,11550,5000,0.3114333671828337,2268671.8019397175,7284613.7922268445,437635.66395706806,455680.6163651271,460283.45087386575,484508.8956567008,21881.783197853423,18044.95240805902,4602.8345087386615,24225.444782835064,730039.9586042791,2353229.8018501033,1623189.8432458243,0.3102289279314428
15,climb,36.156,1276,2992.366,83.34,6.614,16.0,0.3657214983201863,0.73,19330.057432420588,4.896322643517228,26.56417930318614,0.03636620855412534,0.022218954072903335,11550,5000,0.3132644943124297,2242490.703420382,7158457.929751423,436005.8798638972,453983.6316783603,458569.32492763666,482704.55255540705,21800.293993194882,17977.751814463052,4585.693249276371,24135.227627770375,718365.4764628239,2303445.227669329,1585079.751206505,0.31186566445501296
16,climb,36.891,1520,3053.996,83.34,6.48,16.0,0.368649067151422,0.73,19325.163961840524,4.893470580062201,27.004657433127395,0.035701997323835215,0.022780843800108534,11550,5000,0.3151145744798867,2216512.6884575523,7033989.754729765,434404.750095251,452316.4828147137,456885.3361764785,480931.9328173458,21720.237504762572,17911.73271946265,4568.853361764789,24046.59664086731,706766.3401658512,2254409.433268092,1547643.093102241,0.31350398456295103
17,climb,37.655,1764,3118.189,83.34,6.345,16.0,0.37163726493245747,0.73,19320.272904090212,4.891057750311938,27.459457413592343,0.03504711248821368,0.023355917554669196,11550,5000,0.3169742165833925,2190358.289747568,6910209.648459872,432758.5135693362,450602.36731501063,455153.90637879865,479109.3751355776,21637.92567846683,17843.853745674405,4551.539063787991,23955.4687567789,695120.9725877002,2205968.678320784,1510847.705733084,0.315109176036369
18,climb,38.454,2008,3185.112,83.34,6.211,16.0,0.3746888691675375,0.73,19315.382436090822,4.890467999391357,27.93740462552162,0.03441526208124522,0.023948255768282353,11550,5000,0.3188448270268889,2164406.6545305103,6788275.898068691,431142.5208956566,448919.7427068478,453454.28556247253,477320.3005920764,21557.12604478285,17777.221811191157,4534.54285562473,23866.01502960384,683549.2791544345,2158310.0215963502,1474760.742441916,0.3167057893976052
19,climb,39.287,2252,3254.941,83.34,6.076,16.0,0.37780657800364276,0.73,19310.491808759092,4.890627331731125,28.432662287269608,0.0337944816917809,0.02455620205242157,11550,5000,0.32071933796443053,2138278.4596870807,6667132.93080016,429482.013648738,447190.7680640753,451707.846529369,475481.9437151253,21474.100682436918,17708.754415337367,4517.0784652936945,23774.097185756287,671930.703037275,2111074.7558051706,1439144.0527678956,0.3182884458210474
20,climb,40.157,2496,3327.873,83.34,5.942,16.0,0.38099332765954613,0.73,19305.599587965648,4.892220793443765,28.95209101161628,0.03319175458198071,0.02518180656333365,11550,5000,0.322615280603265,2112352.636723266,6547590.159937044,427853.40789772116,445495.0103058321,449994.9599048809,473678.9051630325,21392.670394886078,17641.602408110935,4499.949599048813,23683.94525815165,660384.0285190165,2064504.4535925367,1404120.4250735203,0.31987532280196956
21,climb,41.067,2740,3404.118,83.34,5.807,16.0,0.38425229242581316,0.73,19300.704844035106,4.894743930540194,29.492439818213214,0.03260002694110259,0.025825663276856693,11550,5000,0.3245197281267012,2086250.1114657107,6428731.231560698,426180.9611399828,443753.6038525435,448235.96348741767,471827.32998675545,21309.04805699916,17572.642712560708,4482.35963487418,23591.366499337793,648789.759374446,2018305.9026039569,1369516.143229511,0.3214526393335109
22,climb,42.019,2984,3483.91,83.34,5.672,16.0,0.38758680530753753,0.73,19295.80622582638,4.898618208724103,30.057343090698048,0.03202381123180911,0.026489062523579607,11550,5000,0.3264315870513391,2060160.2749133203,6311154.792104452,424503.42337860295,442006.8964791784,446471.6126052307,469970.1185318218,21225.171168930166,17503.47310057545,4464.716126052311,23498.50592659111,637206.7351202869,1972676.017601002,1335469.282480715,0.3230164149788786
