,tag,time,alt,range,V,Vz,LD,pDOH,eff_p,mass,m_fl,m_bat,m_NOx,m_CO,oem,m_py,eff,P_req,P_tot,P_motor,P_power_el,P_cables,P_battery,P_loss_motor,P_loss_power_el,P_loss_cables,P_loss_battery,P_GT_out,P_GT_in,P_GT_loss,eta_GT
0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,18957.07809694405,0.0,0.0,0.0,0.0,11550,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06208974790458665
1,takeoff,13.916,0,0.0,53.495,0.0,6.154,0.0,0.64,18954.64996524086,2.4281317031908336,0.0,0.02201962222991029,0.008132408153469523,11550,5000,0.21470116943111278,1616575.92433035,7529423.005071386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816452.4870355303,2692800.853108452,1876348.3660729218,0.30319824286042285
2,climbout,3.933,30,0.0,63.222,7.629,10.5,0.0,0.8,18953.826954826098,0.8230104147633363,0.0,0.008629420989588656,0.001993882298115268,11550,5000,0.2812060703992594,2538177.399158548,9026040.567171317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1281907.777352802,3763734.5726224217,2481826.7952696197,0.3405946281859136
3,climbout,3.932,60,0.0,63.222,7.63,10.5,0.0,0.8,18953.00473645796,0.8222183681376845,0.0,0.008613761379746487,0.001995625914011409,11550,5000,0.28141764120191526,2538253.1286034803,9019523.857007602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1281946.0245472123,3760388.619311669,2478442.5947644566,0.34090785669430884
4,climbout,3.932,90,0.0,63.222,7.63,10.5,0.0,0.8,18952.18315243539,0.8215840225663906,0.0,0.008599332464613939,0.001998040810232995,11550,5000,0.28162538214623684,2538143.0190013247,9012479.626866048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1281890.4136370327,3756838.6464783447,2474948.232841312,0.34121519028736436
5,climbout,3.932,120,0.0,63.222,7.631,10.5,0.0,0.8,18951.362152710084,0.8209997253084907,0.0,0.008585862587105971,0.0020003033132743567,11550,5000,0.2818359152775361,2538218.9152660016,9006016.542520873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1281928.7450838392,3753518.377258162,2471589.6321743224,0.341527232915868
6,climbout,3.931,150,0.0,63.222,7.632,10.5,0.0,0.8,18950.5419456164,0.8202070936829533,0.0,0.008570230206586904,0.0020020590985516356,11550,5000,0.28204586280869326,2538294.8736704155,8999582.012632094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1281967.1079143512,3750209.804283754,2468242.6963694026,0.34183877031359633
7,climbout,3.931,180,0.0,63.222,7.619,10.5,0.0,0.8,18949.723027441418,0.8189181749843086,0.0,0.008543498694997504,0.0020065268560986622,11550,5000,0.28220910928296994,2535768.2547067446,8985423.118160725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280691.0377306791,3743872.8417650005,2463181.804034321,0.3420765319387594
8,climbout,3.938,210,0.0,63.222,7.601,10.5,0.0,0.8,18948.904193148857,0.8188342925605122,0.0,0.008527257303875862,0.0020153548514595817,11550,5000,0.2823554351827204,2532312.5333361784,8968527.670442915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1278945.7239071608,3736462.1789252046,2457516.455018044,0.34228788160115947
9,climbout,3.946,240,0.0,63.222,7.583,10.5,0.0,0.8,18948.085238456748,0.8189546921084694,0.0,0.008513165401453094,0.0020247029975026115,11550,5000,0.2825012609276249,2528857.112369421,8951666.637046617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1277200.5618027379,3729062.5739438063,2451862.012141069,0.3424990963484927
