set_id,climb_h0,climb_h1,cruise_h0,cruise_h1,TOM,Mf,M_NOx
0.0,0.019019463443289822,0.04239157567619317,0.1769866695434803,0.13635587878637875,18488.123493559167,1053.1148402989,6.390926195964578
0.0,0.24872102965108722,0.24723155994919654,0.24898451045800518,0.24630612896480594,19570.910963982416,1019.6020655763027,6.0129928666091566
0.0,0.24753086100701543,0.24781711665618383,0.22804050090586026,0.24232468838575186,19497.310632207907,1021.8290225629328,6.047203941502535
0.0,0.06114437931870963,0.10312216590446752,0.11944061340903121,0.056397990499227404,18250.701613514404,1060.4780280498405,6.395149811296594
0.0,0.2423347531418294,0.0013706240686408855,0.010946024215312336,0.010772844558431114,17969.991130026407,1070.0455479983,6.416366213505134
0.0,0.21051539835143168,0.1526865162549804,0.14412826376154195,0.19105923031884406,18938.19588478957,1039.0160243072849,6.193346000968342
0.0,0.048899959505887394,0.24936712697370106,0.24026551133065527,0.032538054622778756,18652.85611081368,1048.0692321246886,6.29428674415874
0.0,0.24087920687860134,0.24771808654123906,0.010265808591077535,0.010772844558431114,18246.494380459266,1061.650883986706,6.332476207894528
0.0,0.2400874632073492,0.24849793250270225,0.01670497345574906,0.06790984133353392,18415.452722509635,1056.0445571200285,6.288774282917763
0.0,0.2466936067278004,0.15103153522757481,0.0009831383913496416,0.2459361846827972,18756.661976077816,1044.9444329582857,6.207633822508798
0.0,0.0023968121592367053,0.23948478142876567,0.22133546882874722,0.24613750302398693,19137.15867682037,1032.7776848747965,6.190167876015826
0.0,0.018679099158926432,0.010191409648628573,0.0006959226530010841,0.017662305867129302,17708.293481067223,1077.7910759594731,6.550057912166691
0.0,0.20499884749324263,0.20721943366754808,0.1558647882956183,0.2497855526332698,19202.83206267038,1030.7903857397314,6.118346489920887
0.0,0.24279297425994775,0.244599211456221,0.06342555729193766,0.24937490129719397,19045.654081163673,1035.8484961588788,6.138086591016728
