climb_h0,climb_h1,cruise_h0,cruise_h1,TOM,Mf,M_NOx
0.3211129636227406,0.20081135037284678,0.9163256749680032,0.2344994904603426,21739.064458455094,958.268708486371,5.64384093503827
0.3526844902400152,0.03894433749749895,0.4581935197550524,0.7242237130259137,21746.65282936438,958.2293108146354,5.511823152546242
0.8765874979019205,0.8244397237009141,0.7540760504795953,0.2118047144283614,23185.33413080175,913.5268989029875,5.145304420402334
0.1230640359026751,0.6950379273446019,0.30159534608240635,0.372808984009035,20582.88205629098,989.5409786024925,5.687229432957983
0.5828696233014429,0.28739653903048445,0.837488205615551,0.4031168415478237,22756.79517353097,927.6986866423642,5.295530099690577
0.22093039771801226,0.7038717837193198,0.06843935600305459,0.4818867151881717,20376.079428452453,996.439916585281,5.727982901096879
0.032052408493763535,0.6594165275538012,0.5561242952107035,0.5275503299330366,21806.07206668469,954.6039606876911,5.423525291540139
0.7431252942503228,0.9100590343417285,0.6304153339843376,0.7357660783323859,24992.394082121387,861.4807846504953,4.741717230696039
0.4038564186179783,0.42547706431162874,0.4284109797763504,0.6659878430151845,22156.251121042333,943.8325069309915,5.289599344301988
0.5489885071114605,0.0573243530749068,0.1229492015194926,0.9777705501700511,21887.690127791386,953.4185222028918,5.67368646272222
0.9584338031918885,0.042357610805725227,0.4189699671417204,0.60155086369732,22230.121675453454,941.3231131075663,5.18117268888868
0.6413389604476437,0.7425969580947336,0.6927357481323483,0.9151863613871579,25611.1243175205,844.4622810252932,4.926646110921586
0.914386992797601,0.4832614781641687,0.5375124628470206,0.1271786922397815,21489.514799729917,963.1408543101074,5.37889275216614
0.27229752820409364,0.13519786284724575,0.6442875850614811,0.8273938539035136,22890.865003216088,926.0363811381227,5.5768569070531715
0.7695056549740845,0.17780896413278183,0.8504338325654501,0.18653927185001407,22084.22569027082,947.6566088273726,5.392411643218473
0.1491013459796858,0.646488286114219,0.28080666829415063,0.7783719151046877,21961.13671323857,949.7431521214476,5.465508018646425
0.7782379191255073,0.23782166184057882,0.9461569669261648,0.6562054623238598,24704.319488276007,871.9482937452672,5.170517077863714
0.5660930682685656,0.9513945134934855,0.03318936727988131,0.5694991132875502,21519.469200952975,963.378513135511,5.521815597908015
0.7267011313652464,0.5319088555285126,0.5493528856589732,0.9090978509165943,24615.19989419324,872.8458579412066,4.93411460235179
0.04756180754211082,0.8823671463727023,0.881902202701413,0.7840867336588443,24739.28543933257,871.3853148465814,5.472834971143275
0.3110562084115884,0.40751738067480675,0.731261595052283,0.8004986917067956,23736.4487262708,900.0379765057096,5.361403902532123
